HBSC_id,Short_name,Survey_years_available,Age_groups_available,Measure_type,Measure_description,Chart_title_gender,Significance_text_gender,Notes_2014_gender,Notes_2018_gender,Notes_2022_gender,Chart_title_FAS,Significance_text_FAS,Notes_2014_FAS,Notes_18_FAS,Notes_22_FAS
d_selfeff_do,Sefl-efficacy: achieve goals,2022,"11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked about how often they manage to do things they have decided to do. Response options were never, rarely, sometimes, most of the time and always. Findings presented here show the proportions who reported they can manage to do things they had decided to do most of the time or always.",who report they can manage to do things they decided to do most of the time or always,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,,,No data were received from France.,Prevalence by family affluence: can manage to do things they decided to do most of the time or always by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,No data were received from France.
,,,,,,,,,,,,,,,
fight_3,FIGHTING,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked how many times in the past 12 months they had been involved in a physical fight. Response options ranged from, I have not been in a physical fight in the past 12 months to 4 times or more. Findings presented here show the proportions who reported physical fighting 3 times or more in the past 12 months.",who have been involved in a physical fight at least three times in the past 12 months,,Statistical significance is not shown.,Statistical significance is not shown.,,Prevalence by family affluence: involved in a physical fight at least three times in the past months by country/region and gender,Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,Statistical significance is not shown.,Statistical significance is not shown.,
beenbullied_2_3,BULLYING: BEING BULLIED,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked how often they had been bullied by (an)other person(s) at school in the past couple of months. Response options ranged from, I have not been bullied at school in the past couple of months to several times a week. Findings presented here show the proportions who reported being bullied at least two or three times a month in the past couple of months.",who have been bullied at school at least 2-3 times a month in the past couple of months,,Statistical significance is not shown.,Statistical significance is not shown.,No data were received from Switzerland,Prevalence by family affluence: been bullied at school at least 2-3 times a month in past couple of months by country/region and gender,Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,Statistical significance is not shown.,Statistical significance is not shown.,No data were received from Switzerland
bulliedothers_2_3,BULLYING: BULLYING OTHERS,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked how often they had taken part in bullying (an)other person(s) at school in the past couple of months. Response options ranged from, I have not bullied (an)other person(s) at school in the past couple of months to several times a week. Findings presented here show the proportions who reported bullying others at least two or three times a month in the past couple of months.",who have bullied others at school at least 2-3 times a month in the past couple of months,,Statistical significance is not shown.,Statistical significance is not shown.,No data were received from Switzerland,Prevalence by family affluence: bullied others at school at least 2-3 times a month in the past couple of months by country/region and gender,Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,Statistical significance is not shown.,Statistical significance is not shown.,No data were received from Switzerland
cbeenbullied_once,CYBERBULLYING: BEING BULLIED,"2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked how often they had experienced cyberbullying (e.g., anyone sending mean instant messages, wall postings or emails, or someone posting or sharing photos or videos online without their permission). Response options ranged from, I have not been cyberbullied in the past couple of months to several times a week. Findings presented here show the proportions who had experienced cyberbullying at least once or twice a month in the past couple of months.",who have been cyberbullied at least once or twice in the past couple of months,,Statistical significance is not shown.,Statistical significance is not shown.,No data were received from Greenland,Prevalence by family affluence: been cyberbullied at least once or twice in the past couple of months by country/region and gender,Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,Statistical significance is not shown.,Statistical significance is not shown.,No data were received from Greenland
cbulliedothers_once,CYBERBULLYING: BULLYING OTHERS,"2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked whether they had taken part in cyberbullying (e.g., sending mean instant messages, wall postings or emails, or posting or sharing photos or videos online without permission). Response options ranged from I have not cyberbullied another person in the past couple of months to several times a week. Findings presented here show the proportions who had cyberbullied others at least once or twice a month in the past couple of months.",who have cyberbullied others at least once or twice in the past couple of months,,Statistical significance is not shown.,Statistical significance is not shown.,No data were received from Greenland,Prevalence by family affluence: cyberbullied others at least once or twice in past couple of months by country/region and gender,Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,Statistical significance is not shown.,Statistical significance is not shown.,No data were received from Greenland
,,,,,,,,,,,,,,,
ever_smoked,TOBACCO USE: LIFETIME USE,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked on how many days they had smoked cigarettes in their lifetime. Response options were never, 1-2 days, 3-5 days, 6-9 days, 10-19 days, 20-29 days and 30 days (or more). Findings presented here show the proportions who had ever smoked a cigarette.",who have ever smoked ,,Note: no data were received from Greenland.,Note: no data were received from Greenland or Norway (11-year-olds).,Note: no data were received from Norway (11-year-olds).,Prevalence by family affluence: lifetime tobacco use by country/region and gender,Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,Note: no data were received from Norway (11-year-olds).
smoking_30once,TOBACCO USE: LAST 30 DAYS  (CURRENT) USE,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked on how many days they had smoked cigarettes in the last 30 days. Response options were never, 1-2 days, 3-5 days, 6-9 days, 10-19 days, 20-29 days and 30 days (or more). Findings presented here show the proportions who had smoked a cigarette at least once in the last 30 days.",who have smoked in the last 30 days,,Note: no data were received from Greenland.,Note: no data were received from Greenland or Norway (11-year-olds).,Note: no data were received from Norway (11-year-olds).,Prevalence by family affluence: tobacco use in last 30 days by country/region and gender,Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,Note: no data were received from Norway (11-year-olds).
